time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,160.87494536035763,434.3893809602611,1192.296777952231,-376.60763402990654,1134.8484382055117,42.46135530475093,258.49478921569585,-22.437760101208465,50.135317447405704
0.005,137.8080922803801,429.7904369046978,1051.2481235986186,-298.5049185239481,1114.6497418510394,24.120046656644202,257.88923169583234,-22.842541656331,50.306561329056215
0.009,113.4982111074062,424.5509633611248,912.4325464799102,-220.99138552312553,1094.056371794997,5.867768839687624,257.2994075499487,-23.241503246725518,50.4970258185086
0.014,88.13528161762193,418.6549092328535,777.2871703720766,-144.7767364532273,1073.1518898890322,-12.174219793391025,256.73178051579856,-23.62889714026119,50.70749737748959
0.018,61.92025421475495,412.0891014558121,647.1581651265795,-70.54422305431372,1052.0202113999424,-29.894390600064717,256.19263716750044,-23.999011652029935,50.93879914860537
0.024,35.06237420818931,404.84366155225206,523.26845636497,1.062757054128805,1030.7442366977095,-47.19324660343845,255.6879991601715,-24.34628066807542,51.19176929304884
0.028,7.776755356571398,396.9124942101785,406.69088481173173,69.45249635193679,1009.4047942015321,-63.98509874054123,255.22351871055687,-24.665388667981176,51.46723430148543
0.032,-19.71774767372425,388.29382262407137,298.32748752345327,134.09496767312302,988.0800321527557,-80.19924982680416,254.80435874029135,-24.951368929822113,51.76597811488817
0.038,-47.20035540224358,378.9907380191037,198.89514607963997,194.5298588540025,966.8452801815265,-95.78055154847137,254.43506226570716,-25.199693272505208,52.08870832786437
0.042,-74.44988998585579,369.01172698185246,108.91757958976287,250.3726323539098,945.7732929649706,-110.68933220840513,254.11941771041012,-25.40635231825087,52.436021143210866
0.047,-101.24605859114217,358.3711396687206,28.723460824271605,301.3186072231052,924.9347452843006,-124.90072502489632,253.86032779338265,-25.56792580792845,52.808366873020994
0.052,-127.37055571585518,347.0895648650555,-41.549772516049494,347.1450647940745,904.3988590432863,-138.403454659344,253.65968984652432,-25.681642919234516,53.20601747106775
0.056,-152.60805921311604,335.1940827125634,-101.94704106902087,387.71141825102103,884.2340691353613,-151.19815958210566,253.51829517235663,-25.745432676311015,53.6290368940903
0.061,-176.74721061114923,322.7183698341288,-152.682455302266,422.95755810637627,864.5086565979024,-163.29533990170356,253.43575446871353,-25.75796425429046,54.077254297490434
0.065,-199.58168853862134,309.7026326484703,-194.12268951845275,452.90056185099206,845.2912981655982,-174.71302783863732,253.41045527687754,-25.71867638890656,54.550239564917604
0.071,-220.9114975460721,296.19334347853464,-226.7677279959791,477.6300136546775,826.6515088153786,-185.47428447063015,253.43955562283344,-25.627794630842292,55.047280827604816
0.075,-240.5445943689492,282.2427535649784,-251.22977875159359,497.30221060087166,808.6599871976023,-195.6046329212703,253.51901554216377,-25.48633519666158,55.567364526003836
0.08,-258.29895248987077,267.9081617950799,-268.2111124243982,512.1335348088176,791.3889025599595,-205.12954477061825,253.64366551257288,-25.296094576338316,56.109159777373314
0.085,-274.0051190372338,253.25093274215132,-278.48154473011033,522.3932457767845,774.9121685508647,-214.07210331005103,253.80730868588074,-25.05962447385316,56.67100965574872
0.089,-287.50924503506445,238.33528466286353,-282.8562254497188,528.3958930735253,759.3057179558057,-222.45097396162643,254.00285255472292,-24.78019182971149,57.25093204601155
0.094,-298.67648030197626,223.22690226166264,-282.1743125928159,530.4934709453412,744.6477256144701,-230.27881381107426,254.22246504506214,-24.46172369165655,57.84663206069304
0.098,-307.39454077599163,207.9914579257652,-277.27900837588226,529.0673579273445,731.0186589517592,-237.56123748811333,254.45774954696796,-24.108736877584604,58.455526898230566
0.103,-313.57720401297365,192.69313823511612,-268.9993420491163,524.5200503003722,718.5010170623488,-244.29641665064756,254.69993291093726,-23.72625301910562,59.07478270025471
0.108,-317.16747707452384,177.3932703416285,-258.1340164075164,517.2667408490906,707.1786713591976,-250.47533175139168,254.94006005401982,-23.319700753336274,59.70136157077492
0.113,-318.14019903274675,162.14913388752308,-245.4375689436762,507.72689370695576,697.1358063934669,-256.082637021653,255.16918873442177,-22.89480826329556,60.332075645305785
0.118,-316.50387366636664,147.0130338909514,-231.6090017726464,496.31605267929905,688.4555162498622,-261.0980548916437,255.3785784291118,-22.457490558821373,60.96364421076996
0.122,-312.3015751460162,132.0316951366785,-217.28290404252215,483.438137108021,681.2181184376196,-265.49818123890714,255.5598680948024,-22.013736416966044,61.59274954082414
0.127,-305.61083803126655,117.24601301577539,-203.02296722764171,469.4784338342278,675.4992381551888,-269.25855527183114,255.705238687942,-21.56949960777973,62.21608725530935
