time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,363.19791398717035,1167.222400943513,884.7749736262679,550.1313875110008,1065.4820492292924,413.34902592448395,266.11052068247756,-43.04310789182089,9.8016057251022
0.005,243.68970586089347,1084.779508829317,747.1993499319967,508.04229772227256,994.5057836249547,329.738582684932,260.95456201894933,-41.358362372908424,14.817426532678741
0.01,126.1695842232423,1003.4091452644756,611.9405254727636,466.05744607371577,924.9213705117635,247.10911928489875,255.86604053364738,-39.674939956948876,19.80891025028246
0.014,12.29073081794366,923.9488067298217,480.87225631082015,424.8452997565794,857.6958520042634,166.236725097198,250.88599533697354,-38.00296263119333,24.743188237071166
0.018,-96.40145693392296,847.1842448373402,355.7326801541514,385.05178707368407,793.7459322576055,87.86169809536999,246.05391374417798,-36.35237037757706,29.588410448785197
0.024,-198.51214038647677,773.830631180704,238.07460307633778,347.28694724241683,733.9134187433452,12.673228376205463,241.4070618102531,-34.73279004407999,34.31422698766686
0.028,-292.83189819816187,704.516593613256,129.22621963793077,312.1114805052735,678.9436616375169,-58.70457535077568,236.97984142946146,-33.15340469797456,38.8922514140717
0.033,-378.36248120775497,639.771622109717,30.263358311364815,280.02357661845446,629.468169970177,-125.72470313541602,232.80319169220635,-31.622825584789293,43.29649486916492
0.038,-454.3331670716016,580.0170822652974,-58.00685504189359,251.44676155886773,585.9922450415806,-187.92679201043475,228.9040545618218,-30.148969663472222,47.50375792216152
0.042,-520.2081212869666,525.5608590984344,-135.05176657110312,226.71971106601615,548.8879250852289,-244.9438908820277,225.30492405024188,-28.738946188905715,51.49396675074182
0.047,-575.685609538384,476.59550024112195,-200.60955704610873,206.08890898841457,518.3919864702724,-296.50634212424956,222.02349448843302,-27.39895577193294,55.25044207499719
0.052,-620.6901198263565,433.19962570551246,-254.67744791164512,189.70472037448422,494.6083607089926,-342.442855346874,219.07241872968365,-26.13420480358786,58.760092677572885
0.057,-655.3585199110547,395.3423029582526,-297.49304695478247,177.62105390051326,477.5141447817284,-382.6789709542135,216.45918231802602,-24.94883736564396,62.013529430459926
