time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,27.588608378108763,23.504208356519513,-15.561820500102789,-1552.474838371628,-122.93240346369426,-345.46369488540034,492.9983354710102,-325.7232907031928,489.06694688686247
0.004,36.01564242746239,24.81327360708234,-41.04611969627252,-1512.4498469592636,-101.66738251745525,-347.03799995560195,492.5518897637595,-325.07582222928914,489.6541077854931
0.009,44.1620952877259,25.829256052330535,-65.85790947002873,-1472.643170051414,-80.70999628032004,-348.3398521279849,492.1059147984386,-324.4045758245954,490.2494718089643
0.014,51.9253294945144,26.476628420619157,-89.73916724066166,-1433.2793903439344,-60.14359676458837,-349.33117606490526,491.6607715881247,-323.7137904390257,490.84287824036085
0.019,59.20814496084285,26.685857368244548,-112.44434939528202,-1394.5830527810524,-40.05114106547319,-349.9768469465177,491.216953896869,-323.00775400244356,491.42420483561864
0.023,65.92089271397522,26.39546127624446,-133.74533581184855,-1356.7766087667358,-20.515070531212473,-350.24546350775154,490.7751314118404,-322.2907415886794,491.98357266999255
0.028,71.98340179712336,25.55387268611491,-153.43596264686616,-1320.0781663246225,-1.617038919745251,-350.11005515528274,490.3361849100447,-321.5669565980799,492.51154133582827
0.032,77.3266656824201,24.12104233379453,-171.3360105487452,-1284.699035460006,16.56254179631173,-349.5487011451231,489.90123169522934,-320.8404762648302,492.9992895722643
0.037,81.89424499573997,22.06972976964346,-187.29453587311167,-1250.8410791601912,33.945161389556304,-348.54504251850864,489.4716399978375,-320.11520308850794,493.43877704950415
0.042,85.64335423958663,19.386436461973386,-201.19246043759082,-1218.6939078477924,50.455087985527356,-347.08867079318094,489.04903122955784,-319.39482372986976,493.82288391593124
0.047,88.54561114345266,16.071950652249008,-212.9443682557856,-1188.4319838922345,66.02045461649612,-345.1753809198904,488.63526910518794,-318.68277649137815,494.14552562254795
0.051,90.587437838362,12.141488456010173,-222.49949123438182,-1160.2117269025475,80.57452714306886,-342.8072795176395,488.23243499932954,-317.98222785519704,494.4017412503137
0.056,91.7701127623053,7.6244319804052765,-229.84189579641418,-1134.1687251576218,94.05710159822587,-339.99274276806705,487.8427897074809,-317.2960578543167,494.58775413910286
0.061,92.10948108974702,2.5636811723087294,-234.98990572060734,-1110.4151619778463,106.41595879859966,-336.74622161451015,487.4687230055485,-316.62685350301615,494.701004399893
0.066,91.63533998007442,-2.9853499115681714,-237.99481195184072,-1089.0375596685303,117.60829140111834,-333.0878954013631,487.11269379692794,-315.97690921084336,494.7401541371885
0.07,90.39052315887126,-8.95605065092599,-238.9389294733437,-1070.0949315130265,127.60201522894617,-329.043179346403,486.7771647474671,-315.3482329187255,494.70506772013425
0.075,88.42971692487858,-15.272195436461566,-237.93306860406852,-1053.6174178114009,136.37688170842594,-324.6420966941249,486.464535639672,-314.74255639879,494.5967706909896
0.079,85.81804618584482,-21.849734420199994,-235.1134967344699,-1039.605466888063,143.92532019700894,-319.91853298239573,486.177079089336,-314.16134778105464,494.4173914234188
0.084,82.62947405717328,-28.5987361891546,-230.63847718601838,-1028.0296059515574,150.2529576304228,-314.9093967770387,485.91688116464877,-313.6058242814157,494.17008928317375
0.089,78.94506112211023,-35.42542453792407,-224.68448321550594,-1018.8308282424999,155.37878857236797,-309.6537171648798,485.6857884047199,-313.0769635913329,493.85897201216414
0.094,74.85112996424633,-42.23425184662736,-217.44219579949436,-1011.9216004681584,159.33499988062263,-304.1917120069762,485.48536204841747,-312.5755132275184,493.48900390243665
0.098,70.43737726558449,-48.92995265394952,-209.1124028333611,-1007.187467975337,162.16648516651227,-298.56386195937637,485.3168399497758,-312.1019977812001,493.06590566444635
0.102,65.7949708815852,-55.419523477080844,-199.90192284093138,-1004.489208271595,163.93010474524016,-292.8100241043676,485.1811065428521,-311.65672414840645,492.5960469347628
