time,ax,ay,az,wx,wy,wz
2025-10-17T13:59:23.062Z,0.0709,-0.9967,1.1058,0.2324,-0.0265,-0.2652
2025-10-17T13:59:23.073Z,0.1707,-0.6357,1.3495,0.3312,0.0940,-0.2737
2025-10-17T13:59:23.083Z,0.0865,-0.5899,1.5047,0.3765,-0.0338,-0.3643
2025-10-17T13:59:23.094Z,0.1656,-1.2882,1.4751,0.4004,-0.2164,-0.4303
2025-10-17T13:59:23.103Z,-0.2522,-1.3413,1.2955,0.4133,-0.4098,-0.4532
2025-10-17T13:59:23.113Z,-0.7180,-0.5072,1.1793,0.4274,-0.5176,-0.4851
2025-10-17T13:59:23.125Z,-0.8934,0.2369,1.0278,0.4110,-0.5240,-0.5592
2025-10-17T13:59:23.133Z,-0.4692,0.2134,0.7327,0.3887,-0.4571,-0.6391
2025-10-17T13:59:23.144Z,0.0739,-0.1092,0.2915,0.3658,-0.4145,-0.6642
2025-10-17T13:59:23.153Z,0.0912,-0.1165,0.0083,0.3215,-0.4033,-0.6572
2025-10-17T13:59:23.163Z,-0.1616,0.0649,-0.2207,0.2750,-0.2983,-0.6009
2025-10-17T13:59:23.175Z,-0.1818,0.3664,-0.3363,0.2514,-0.2583,-0.5075
2025-10-17T13:59:23.183Z,-0.1441,0.5579,-0.3255,0.2183,-0.2349,-0.3725
2025-10-17T13:59:23.194Z,-0.2513,0.3706,-0.3874,0.2091,-0.3560,-0.2342
2025-10-17T13:59:23.203Z,-0.7130,0.1669,-0.4010,0.1917,-0.5385,-0.1802
2025-10-17T13:59:23.213Z,-0.8931,-0.0665,-0.2970,0.1638,-0.6111,-0.2357
2025-10-17T13:59:23.225Z,-0.9521,0.0167,-0.3825,0.1382,-0.6516,-0.2964
2025-10-17T13:59:23.233Z,-0.9019,0.4118,-0.4109,0.1150,-0.6641,-0.2834
2025-10-17T13:59:23.244Z,-0.8025,0.4772,-0.3867,0.0955,-0.6163,-0.1883
2025-10-17T13:59:23.253Z,-1.0741,0.1398,-0.4458,0.0737,-0.4885,-0.0809
2025-10-17T13:59:23.263Z,-1.4004,-0.1967,-0.5288,0.0581,-0.3769,-0.0247
2025-10-17T13:59:23.275Z,-1.1450,-0.2604,-0.5723,0.0579,-0.3236,-0.0050
2025-10-17T13:59:23.283Z,-0.9027,-0.2659,-0.5169,0.0577,-0.2967,-0.0014
2025-10-17T13:59:23.294Z,-0.8204,-0.2480,-0.5157,0.0495,-0.2940,0.0421
2025-10-17T13:59:23.303Z,-0.9986,-0.2476,-0.4948,0.0180,-0.2805,0.0757
2025-10-17T13:59:23.313Z,-1.3193,-0.1730,-0.5962,-0.0076,-0.2852,0.0669
2025-10-17T13:59:23.323Z,-1.0985,0.2274,-0.6522,-0.0427,-0.2892,0.0527
2025-10-17T13:59:23.333Z,-0.6570,0.3706,-0.6315,-0.0684,-0.2417,0.0550
2025-10-17T13:59:23.344Z,-0.4165,0.2404,-0.7301,-0.0735,-0.2436,0.0705
2025-10-17T13:59:23.353Z,-0.3654,0.1113,-0.4628,-0.0737,-0.1773,0.0721
2025-10-17T13:59:23.363Z,-0.4082,0.0068,-0.2536,-0.0683,-0.1454,0.0688
2025-10-17T13:59:23.373Z,-0.4007,-0.0356,-0.0847,-0.0652,-0.1568,0.0559
2025-10-17T13:59:23.383Z,-0.2185,-0.0072,0.0354,-0.0598,-0.1347,0.0286
2025-10-17T13:59:23.399Z,-0.0835,0.0829,0.2049,-0.0602,-0.1021,0.0047
2025-10-17T13:59:23.403Z,0.0690,0.2377,0.2340,-0.0576,-0.0895,-0.0083
2025-10-17T13:59:23.413Z,0.2434,0.3001,0.1801,-0.0784,-0.0773,-0.0189
2025-10-17T13:59:23.423Z,0.2655,0.2482,0.0900,-0.0741,-0.0982,-0.0113
2025-10-17T13:59:23.433Z,0.1516,0.2093,-0.0387,-0.0873,-0.2317,0.0044
2025-10-17T13:59:23.444Z,-0.1122,0.2545,-0.0758,-0.0895,-0.4214,0.0153
2025-10-17T13:59:23.453Z,-0.4844,0.3414,-0.1113,-0.0942,-0.5883,0.0119
2025-10-17T13:59:23.463Z,-0.5492,0.4327,-0.0458,-0.0931,-0.6946,-0.0078
2025-10-17T13:59:23.473Z,-0.2997,0.5154,0.0188,-0.0757,-0.7500,-0.0559
2025-10-17T13:59:23.483Z,0.0668,0.5667,0.1782,-0.0561,-0.7352,-0.1193
2025-10-17T13:59:23.494Z,0.3612,0.4856,0.3159,-0.0289,-0.6490,-0.1792
2025-10-17T13:59:23.503Z,0.6076,0.3477,0.4512,-0.0037,-0.4890,-0.2306
2025-10-17T13:59:23.513Z,0.8266,0.2685,0.5094,0.0168,-0.2905,-0.2742
2025-10-17T13:59:23.523Z,1.0346,0.2888,0.4561,0.0277,-0.0742,-0.3176
2025-10-17T13:59:23.533Z,1.0820,0.3710,0.3501,0.0424,0.0650,-0.3412
2025-10-17T13:59:23.543Z,0.8890,0.4253,0.2647,0.0549,0.1101,-0.3406
2025-10-17T13:59:23.553Z,0.4186,0.3638,0.1391,0.0475,0.0637,-0.3246
2025-10-17T13:59:23.562Z,-0.3248,0.1950,-0.0523,0.0508,-0.0487,-0.2948
2025-10-17T13:59:23.573Z,-0.9209,0.0994,-0.0835,0.0467,-0.1347,-0.2606
2025-10-17T13:59:23.583Z,-1.0463,0.0552,0.0196,0.0338,-0.1719,-0.2191
2025-10-17T13:59:23.593Z,-0.7591,0.0546,0.0897,0.0153,-0.1559,-0.1921
2025-10-17T13:59:23.603Z,-0.2143,0.1380,0.0482,-0.0294,-0.1133,-0.1704
2025-10-17T13:59:23.613Z,0.2113,0.2550,-0.2006,-0.0956,-0.0304,-0.1381
2025-10-17T13:59:23.623Z,0.3706,0.4041,-0.4424,-0.1565,-0.0031,-0.0809
2025-10-17T13:59:23.633Z,0.4983,0.5483,-0.4819,-0.2263,-0.0461,-0.0052
2025-10-17T13:59:23.644Z,0.7188,0.6568,-0.3072,-0.2959,-0.0264,0.0543
2025-10-17T13:59:23.653Z,1.1324,0.8158,0.1037,-0.3294,0.0482,0.0832
2025-10-17T13:59:23.663Z,1.9088,1.0647,0.5639,-0.3645,0.0189,0.0730
2025-10-17T13:59:23.673Z,2.7665,1.3512,1.0907,-0.3909,-0.0302,0.0222
2025-10-17T13:59:23.683Z,3.4367,1.6009,1.6584,-0.4185,-0.1687,-0.0380
2025-10-17T13:59:23.694Z,4.0032,1.7930,2.2722,-0.4838,-0.4196,-0.0811
2025-10-17T13:59:23.704Z,4.4958,2.1626,2.5234,-0.5778,-0.7054,-0.0854
2025-10-17T13:59:23.714Z,4.7454,2.8444,2.7949,-0.6805,-1.0251,-0.0851
2025-10-17T13:59:23.724Z,4.8135,3.7956,3.0022,-0.7750,-1.3589,-0.1388
2025-10-17T13:59:23.734Z,5.0374,4.7494,3.1555,-0.8626,-1.7107,-0.2798
2025-10-17T13:59:23.744Z,5.5550,5.4626,3.3132,-0.9672,-2.0347,-0.4723
2025-10-17T13:59:23.754Z,5.9413,5.7907,3.0955,-1.0748,-2.2395,-0.6805
2025-10-17T13:59:23.764Z,5.9695,5.8117,3.1049,-1.1566,-2.3879,-0.8725
2025-10-17T13:59:23.774Z,5.9643,5.5024,2.9938,-1.2542,-2.5086,-1.0830
2025-10-17T13:59:23.784Z,5.8402,4.8388,2.6970,-1.3329,-2.5330,-1.3312
2025-10-17T13:59:23.794Z,5.6424,3.8590,2.6281,-1.4028,-2.4514,-1.5838
2025-10-17T13:59:23.803Z,5.4022,2.6588,2.5685,-1.4662,-2.2752,-1.8001
2025-10-17T13:59:23.814Z,4.9143,1.3496,2.2787,-1.4741,-1.9786,-1.9810
2025-10-17T13:59:23.824Z,4.2555,-0.0074,2.3068,-1.4116,-1.6777,-2.1523
2025-10-17T13:59:23.833Z,3.7429,-1.4133,2.6358,-1.3427,-1.3866,-2.2847
2025-10-17T13:59:23.844Z,3.0455,-2.8707,2.4727,-1.2391,-1.1611,-2.3728
2025-10-17T13:59:23.854Z,1.8335,-4.2479,2.3246,-1.1388,-1.0841,-2.4435
2025-10-17T13:59:23.863Z,0.8109,-5.4567,2.1651,-1.1115,-1.0724,-2.4987
2025-10-17T13:59:23.874Z,-0.0957,-6.2463,1.1885,-1.1477,-1.2343,-2.5144
2025-10-17T13:59:23.884Z,-1.0504,-6.4303,-0.0802,-1.2513,-1.5682,-2.4935
2025-10-17T13:59:23.894Z,-1.6785,-6.2779,-1.1153,-1.3877,-1.9230,-2.4321
2025-10-17T13:59:23.903Z,-1.9656,-5.9236,-1.9386,-1.5089,-2.1546,-2.3907
2025-10-17T13:59:23.913Z,-1.9321,-5.6886,-2.5280,-1.5917,-2.2577,-2.3667
2025-10-17T13:59:23.923Z,-0.9898,-6.1518,-3.0894,-1.6483,-2.3389,-2.3234
2025-10-17T13:59:23.933Z,-0.4423,-7.0792,-3.3267,-1.7052,-2.4571,-2.2486
2025-10-17T13:59:23.944Z,-0.2718,-7.9143,-4.2029,-1.7811,-2.4128,-2.1258
2025-10-17T13:59:23.954Z,-0.0123,-8.0042,-5.4032,-1.8801,-2.1149,-1.9705
2025-10-17T13:59:23.963Z,0.2692,-7.2683,-6.4368,-2.0182,-1.6823,-1.8469
2025-10-17T13:59:23.974Z,0.0617,-6.2120,-6.9496,-2.1794,-1.2886,-1.7825
2025-10-17T13:59:23.983Z,-0.9225,-5.5427,-7.3604,-2.3858,-1.0198,-1.7141
2025-10-17T13:59:23.995Z,-2.1328,-5.5785,-7.9193,-2.6056,-0.9407,-1.5650
2025-10-17T13:59:24.004Z,-3.5970,-5.8283,-8.5552,-2.8127,-0.9623,-1.3640
2025-10-17T13:59:24.014Z,-5.0976,-5.8348,-8.6774,-2.9637,-1.0399,-1.1911
2025-10-17T13:59:24.023Z,-6.0265,-5.6034,-8.1648,-2.9962,-1.1206,-1.0991
2025-10-17T13:59:24.033Z,-5.9388,-5.2499,-7.0179,-2.9326,-1.0680,-1.0568
2025-10-17T13:59:24.045Z,-5.3042,-5.1753,-5.7183,-2.8316,-0.7729,-0.9780
2025-10-17T13:59:24.054Z,-4.9452,-5.3938,-4.9483,-2.7262,-0.3379,-0.7750
2025-10-17T13:59:24.064Z,-5.0705,-5.3741,-4.5048,-2.6375,0.1023,-0.4730
2025-10-17T13:59:24.074Z,-5.5145,-5.1942,-4.6019,-2.5229,0.3373,-0.1710
2025-10-17T13:59:24.084Z,-6.3704,-5.1764,-4.4839,-2.3199,0.1043,0.0516
2025-10-17T13:59:24.095Z,-7.3567,-5.4312,-3.5126,-2.1210,-0.3610,0.1961
2025-10-17T13:59:24.104Z,-8.2561,-5.7890,-2.6804,-1.9626,-0.8365,0.3695
2025-10-17T13:59:24.114Z,-9.1453,-5.7497,-2.4777,-1.8371,-1.1973,0.6175
2025-10-17T13:59:24.124Z,-9.1683,-5.1262,-2.2460,-1.7374,-1.2705,0.8442
2025-10-17T13:59:24.134Z,-8.0566,-4.2806,-1.7361,-1.7260,-0.9924,0.9793
2025-10-17T13:59:24.145Z,-6.0044,-3.7873,-1.6567,-1.7542,-0.4860,1.0836
2025-10-17T13:59:24.155Z,-4.9023,-3.6277,-1.6715,-1.8370,0.0833,1.1685
2025-10-17T13:59:24.164Z,-4.6950,-3.3217,-1.4899,-1.9680,0.5442,1.2629
2025-10-17T13:59:24.173Z,-4.9991,-2.9974,-1.6754,-1.9680,0.5442,1.2629
2025-10-17T13:59:24.184Z,-5.7594,-2.7846,-1.6548,-2.2141,1.1700,1.4826
2025-10-17T13:59:24.192Z,-6.4126,-2.7869,-0.9376,-2.2141,1.1700,1.4826
2025-10-17T13:59:24.204Z,-6.6083,-3.0747,0.1804,-2.2677,1.4797,1.6289
2025-10-17T13:59:24.213Z,-6.6343,-3.3989,1.8673,-2.1647,1.5056,1.6129
2025-10-17T13:59:24.224Z,-6.4139,-3.6804,4.0405,-2.0539,1.6603,1.5321
2025-10-17T13:59:24.233Z,-5.8411,-4.1500,5.4263,-1.9392,1.9384,1.4958
2025-10-17T13:59:24.242Z,-5.5336,-4.4508,5.9053,-1.9392,1.9384,1.4958
