time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-65.96666654501261,185.50037577943343,-204.33860243521383,-1308.3944190827874,614.9856041270992,-400.5988803948853,0.0,0.0,0.0
0.005,-62.862496612423094,168.1755004166669,-199.9802214454202,-1284.4168043728434,596.0066179649558,-402.07378995969816,0.0,0.0,0.0
0.01,-60.10186428608345,151.04554573227895,-195.6024894535016,-1260.470796714932,577.4861389463014,-403.15680271719333,0.0,0.0,0.0
0.014,-57.6649622903096,134.16428060447976,-191.2777727344748,-1236.6454147739541,559.5971715408431,-403.79639244480614,0.0,0.0,0.0
0.019,-55.52239270864787,117.58109766083159,-187.08014724713826,-1213.0220603930984,542.5051412804031,-403.94714669365453,0.0,0.0,0.0
0.024,-53.63537704813599,101.34082494709484,-183.08386493951963,-1189.6734938358302,526.3650281818226,-403.5710443859701,0.0,0.0,0.0
0.028,-51.9561298105038,85.48350942282849,-179.36185491304917,-1166.6628766989893,511.318733948767,-402.638560795786,0.0,0.0,0.0
0.033,-50.42840251186201,70.04415961988948,-175.98428727827655,-1144.042898689235,497.4927455809422,-401.12955843315655,0.0,0.0,0.0
0.038,-48.988209770810116,55.05244620588814,-173.01720945190203,-1121.8550205934728,484.99614661256345,-399.0339282808498,0.0,0.0,0.0
0.043,-47.56475243687419,40.532371756131795,-170.52125104810332,-1100.1288774687716,473.9190165502971,-396.35195299246277,0.0,0.0,0.0
0.047,-46.08155377901984,26.50193372153715,-168.55038885247188,-1078.881891519599,464.33125062836217,-393.09437213750044,0.0,0.0,0.0
0.052,-44.45782282688909,12.972815837661178,-167.15076824864354,-1058.1191426668045,456.2818251494591,-389.28213927263516,0.0,0.0,0.0
0.057,-42.61005391304462,-0.049848736417099325,-166.359587432814,-1037.8335369203285,449.79852579801695,-384.9458711878458,0.0,0.0,0.0
0.061,-40.45386366358959,-12.567595784862835,-166.2040594949818,-1018.0063000126082,444.88814443754774,-380.12500056751236,0.0,0.0,0.0
0.066,-37.90605656871647,-24.588584691369608,-166.70047222910208,-998.607808810844,441.53713292893104,-374.8666539078576,0.0,0.0,0.0
0.071,-34.88689801848602,-36.12735029704461,-167.85336892724808,-979.5987580462553,439.7126821404744,-369.2242864411344,0.0,0.0,0.0
0.075,-31.322559400852484,-47.20432257896753,-169.65487950629728,-960.931646084358,439.36417410613757,-363.2561150264068,0.0,0.0,0.0
0.08,-27.147683889784272,-57.845097103090374,-172.08424108734147,-942.55255098111,440.42493839215956,-357.02339870011326,0.0,0.0,0.0
0.085,-22.308004769873463,-68.07945365028957,-175.1075575232097,-924.4031560856679,442.81423178581645,-350.58862472147456,0.0,0.0,0.0
0.09,-16.76293199165581,-77.94013650540748,-178.6778532632982,-906.4229712709969,446.4393541871519,-344.0136645923615,0.0,0.0,0.0
0.094,-10.488008803091383,-87.46142662595872,-182.73547340082604,-888.5516803766279,451.1978133229153,-337.3579684717046,0.0,0.0,0.0
0.099,-3.4771299937361366,-96.67755185315293,-187.20886580259875,-870.7315288931603,456.9794558328703,-330.67686719278817,0.0,0.0,0.0
