time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-201.8021443792229,-587.050160137509,-16.89418164920741,-916.4160021404697,3.038474171023345,1.0822844118415949,0.0,0.0,0.0
0.004,-192.7004309389081,-567.4047441985476,-62.814473442847216,-906.6912704184933,-9.8090328376698,16.82283982255561,0.0,0.0,0.0
0.009,-183.62581956966906,-546.9983586738847,-107.4632599609169,-897.2831207804223,-22.274925825471378,32.388889975928244,0.0,0.0,0.0
0.014,-174.59811646038688,-525.8255153779785,-150.36443154164826,-888.2413577184735,-34.23686245191565,47.6942526970204,0.0,0.0,0.0
0.018,-165.64378109514686,-503.88664178594445,-191.06155989903496,-879.610775617779,-45.579078662768985,62.65888967247113,0.0,0.0,0.0
0.023,-156.7968621494508,-481.18948653842625,-229.1265286336967,-871.4309718390583,-56.19464079983216,77.2102205671139,0.0,0.0,0.0
0.028,-148.09953890643263,-457.75047143610834,-264.1676891369841,-863.7361080392319,-65.98754957488254,91.28431259634635,0.0,0.0,0.0
0.032,-139.60221320881587,-433.5959351121824,-295.8373381881224,-856.5546102261185,-74.87464651817093,104.8269188847374,0.0,0.0,0.0
0.037,-131.3631227490903,-408.76321005201197,-323.83832279305454,-849.9088265894344,-82.78728120798802,117.79433856400045,0.0,0.0,0.0
0.042,-123.44747214897264,-383.3014738108399,-347.9295971277358,-843.8146892276055,-89.67270500650221,130.154072073203,0.0,0.0,0.0
0.047,-115.92610248970837,-357.27231830513426,-367.9305862791945,-838.2814460487948,-95.49516182272292,141.8852470189402,0.0,0.0,0.0
0.051,-108.87374247097411,-330.74998847128643,-383.72424876521626,-833.3115380178043,-100.23664801229314,152.97879362405706,0.0,0.0,0.0
0.056,-102.36690533634608,-303.8212530225532,-395.2587702639879,-828.9006922532958,-103.89731394270898,163.4373543365166,0.0,0.0,0.0
0.061,-96.48151470850932,-276.5848843648117,-402.5478616101233,-825.0382835841075,-106.49548273421429,173.27491933522168,0.0,0.0,0.0
0.065,-91.29035801531086,-249.15074079523396,-405.6696737728939,-821.7079891442096,-108.0672701264703,182.5161879788982,0.0,0.0,0.0
0.07,-86.86047593689001,-221.6384612413832,-404.76438111706847,-818.8887275694084,-108.66580329346922,191.19566517922192,0.0,0.0,0.0
0.075,-83.2505985093897,-194.175800446091,-400.0305214799319,-816.5558419299566,-108.36005295345058,199.35651081163476,0.0,0.0,0.0
0.079,-80.50873344532594,-166.89664946377516,-391.7202159669355,-814.6824581303583,-107.23330858169065,207.04916928737674,0.0,0.0,0.0
0.084,-78.67000205723721,-139.93880075082006,-380.13342020018126,-813.2409308811184,-105.38133819867629,214.3298150127857,0.0,0.0,0.0
0.089,-77.75480545865219,-113.4415272737163,-365.6113796235138,-812.2042789016562,-102.9102812482772,221.25865731206423,0.0,0.0,0.0
0.094,-77.76739020347539,-87.54304999611318,-348.52947351004826,-811.5475103883405,-99.93432621470815,227.89815504346143,0.0,0.0,0.0
0.098,-78.6948690617815,-62.37796788494183,-329.2896362936576,-811.2487489992347,-96.57322524872892,234.3111960687732,0.0,0.0,0.0
0.103,-80.50673941432298,-38.074720116806574,-308.31254226237735,-811.2900886317356,-92.94969775400959,240.55929939553548,0.0,0.0,0.0
0.108,-83.1549283226419,-14.753143023072331,-286.0297318312413,-811.658129771382,-89.18677507311895,246.70089777887594,0.0,0.0,0.0
0.112,-86.57437875505632,7.477823818253796,-262.8758453270952,-812.3441779782024,-85.40514003284811,252.78975570750987,0.0,0.0,0.0
0.116,-90.68417489039818,28.52223574130123,-239.28111410179267,-813.344112550074,-81.72051831699434,258.87357211754767,0.0,0.0,0.0
0.122,-95.3891857320409,48.2990055094863,-215.6642402759814,-814.6579569591928,-78.24118282257662,264.9928090665282,0.0,0.0,0.0
