time,ax,ay,az,wx,wy,wz
2025-10-16T15:36:08.772Z,0.7105,-0.1536,0.2181,-0.0766,0.2887,-0.0901
2025-10-16T15:36:08.784Z,0.6544,-0.2753,0.2840,-0.0813,0.2151,-0.0861
2025-10-16T15:36:08.794Z,0.6747,-0.3583,0.3334,-0.0806,0.1474,-0.0691
2025-10-16T15:36:08.804Z,0.7468,-0.3313,0.3234,-0.0873,0.0855,-0.0697
2025-10-16T15:36:08.814Z,0.9649,-0.2491,0.3105,-0.0858,0.0216,-0.0843
2025-10-16T15:36:08.824Z,1.2436,-0.1700,0.2621,-0.0918,-0.0420,-0.1122
2025-10-16T15:36:08.834Z,1.3614,-0.0874,0.2296,-0.0965,-0.0797,-0.1384
2025-10-16T15:36:08.844Z,1.4122,-0.0291,0.2461,-0.0943,-0.1462,-0.1670
2025-10-16T15:36:08.854Z,1.3888,-0.0416,0.2949,-0.0994,-0.2194,-0.2054
2025-10-16T15:36:08.863Z,1.2622,-0.0848,0.2856,-0.1079,-0.2932,-0.2468
2025-10-16T15:36:08.874Z,1.1744,-0.0263,0.2481,-0.1146,-0.3344,-0.2781
2025-10-16T15:36:08.884Z,1.1710,0.0922,0.1927,-0.1185,-0.3531,-0.3161
2025-10-16T15:36:08.894Z,1.1589,0.1475,0.1783,-0.1161,-0.3863,-0.3564
2025-10-16T15:36:08.904Z,1.0546,0.1570,0.1723,-0.1121,-0.3951,-0.3962
2025-10-16T15:36:08.913Z,0.8732,0.1213,0.1808,-0.1079,-0.3832,-0.4276
2025-10-16T15:36:08.924Z,0.7775,0.1032,0.1354,-0.0957,-0.3672,-0.4574
2025-10-16T15:36:08.934Z,0.8175,0.1266,0.1904,-0.0772,-0.3475,-0.4969
2025-10-16T15:36:08.944Z,0.8280,0.1835,0.1913,-0.0644,-0.3201,-0.5420
2025-10-16T15:36:08.954Z,0.6926,0.2643,0.1207,-0.0538,-0.2657,-0.5771
2025-10-16T15:36:08.963Z,0.5658,0.3345,0.1045,-0.0375,-0.1779,-0.6096
2025-10-16T15:36:08.974Z,0.5007,0.3787,0.0291,-0.0248,-0.0825,-0.6432
2025-10-16T15:36:08.984Z,0.4294,0.3529,-0.1617,-0.0209,-0.0115,-0.6835
2025-10-16T15:36:08.994Z,0.3068,0.2989,-0.4271,-0.0199,0.0220,-0.7249
2025-10-16T15:36:09.004Z,0.0734,0.2598,-0.7387,-0.0328,0.0326,-0.7514
2025-10-16T15:36:09.014Z,-0.1896,0.2873,-1.0442,-0.0573,0.0449,-0.7746
2025-10-16T15:36:09.024Z,-0.3973,0.2291,-1.2943,-0.0770,0.0412,-0.7914
2025-10-16T15:36:09.034Z,-0.6254,-0.0081,-1.3964,-0.0898,0.0536,-0.8030
2025-10-16T15:36:09.044Z,-1.0111,-0.3886,-1.4052,-0.0956,0.0955,-0.8026
2025-10-16T15:36:09.054Z,-1.4228,-0.8339,-1.5067,-0.1107,0.2816,-0.7956
2025-10-16T15:36:09.063Z,-1.7589,-1.2834,-1.8072,-0.1365,0.5319,-0.7891
2025-10-16T15:36:09.074Z,-1.9964,-1.6661,-2.0764,-0.1668,0.8021,-0.7796
2025-10-16T15:36:09.083Z,-2.3086,-1.8609,-2.2107,-0.2090,1.0366,-0.7611
2025-10-16T15:36:09.094Z,-2.7952,-1.8891,-2.4067,-0.2633,1.1694,-0.7060
2025-10-16T15:36:09.104Z,-3.3965,-1.7722,-2.4208,-0.3116,1.1747,-0.6145
2025-10-16T15:36:09.114Z,-4.0097,-1.6730,-2.3914,-0.3965,1.0990,-0.5080
2025-10-16T15:36:09.124Z,-4.5251,-1.7463,-2.6522,-0.4874,0.9920,-0.3859
2025-10-16T15:36:09.134Z,-4.8535,-1.9427,-2.7400,-0.5636,0.9009,-0.2674
2025-10-16T15:36:09.146Z,-4.9875,-2.1760,-2.7086,-0.6559,0.8233,-0.1606
2025-10-16T15:36:09.154Z,-4.7917,-2.3574,-2.7441,-0.7376,0.8030,-0.0702
2025-10-16T15:36:09.164Z,-4.3157,-2.4176,-2.4713,-0.8023,0.9126,-0.0025
2025-10-16T15:36:09.174Z,-3.5772,-2.2946,-2.2174,-0.8514,1.0901,0.0330
2025-10-16T15:36:09.184Z,-2.6668,-2.0399,-2.1640,-0.9151,1.2687,0.0417
2025-10-16T15:36:09.196Z,-2.1246,-1.8502,-2.2156,-0.9727,1.3667,0.0340
2025-10-16T15:36:09.204Z,-2.0751,-1.7236,-2.0304,-1.0406,1.3835,0.0326
