time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,1.2602919059497637,-0.4145772812679934,0.18227622234537236,0.08520007753361063,-0.030361030011378423,0.011842239572098267
0.003,1.18447779947337,-0.3103616543857357,-0.02189775923277864,0.06973065935159768,-0.05377137847354365,-0.037231326418715224
0.013,1.1191617862821661,-0.20710018857942789,-0.2310220345264382,0.05344735814357085,-0.07775162113330637,-0.08524209962542129
0.022,1.0653763541391001,-0.11449758429216228,-0.44688293258796574,0.034652041828274534,-0.10190537690068364,-0.13266396956027662
0.032,1.0227563889731426,-0.04238488786589609,-0.6701915069901547,0.011803004779528233,-0.1257772901954218,-0.1801920029693418
0.042,0.9892775154689213,-0.00035660303586792163,-0.9003178886790489,-0.01638964363712201,-0.14881032659277416,-0.22871882703802923
0.052,0.9611387372398169,0.002638137247325338,-1.1351830380757886,-0.05089279156479364,-0.17030648257933215,-0.27926890894761075
0.062,0.9328385556924756,-0.041260482100073326,-1.3713225582961641,-0.09230684603306775,-0.18939465031993796,-0.3328987594151004
0.072,0.8974672774457615,-0.1383657679142012,-1.604117418464743,-0.1408511139798749,-0.20500902411598915,-0.39057725967591383
0.081,0.8472014218289999,-0.2930064915229199,-1.8281700616050518,-0.19637717819572864,-0.21588146305108188,-0.453062152474946
0.092,0.7739543067225647,-0.5071489853705783,-2.0377925448288856,-0.2584077373805907,-0.22055091296681953,-0.520787635113246
0.102,0.6701196877446096,-0.7801219802554397,-2.227565158952099,-0.32619705654151887,-0.21739188278621835,-0.5937756812014358
0.112,0.5293413415998324,-1.1084780187472858,-2.39291775507817,-0.39880820090612445,-0.20466231025358653,-0.671581221513233
0.122,0.34724265397455795,-1.4860085018092768,-2.5306812254987214,-0.47520160851393284,-0.1805697506945077,-0.7532787553591648
0.132,0.12205028418263397,-1.9039117570856638,-2.6395540786423495,-0.5543292653121497,-0.14335438378884108,-0.8374949713065482
0.142,-0.14495522313646464,-2.3511013904031914,-2.720429985677408,-0.6352287085702317,-0.09138770576842767,-0.9224881534194611
0.152,-0.44922681999785913,-2.814637276158474,-2.7765377087349887,-0.7171112314499877,-0.02328588172653925,-1.006270425710526
0.162,-0.7830300735622824,-3.2802609878885876,-2.813356384073281,-0.7994389652426853,0.06196457699504748,-1.0867635571149559
0.172,-1.1358433444487654,-3.733017444959132,-2.838287482149359,-0.881985903098393,0.1648741402178852,-1.161973985886258
0.182,-1.495070201849706,-4.157943553406829,-2.86008813440365,-0.9648782032757393,0.28531986985864766,-1.2301692163306799
0.192,-1.8470091662605974,-4.540803230812485,-2.888095144933918,-1.0486091144586935,0.4224304423541346,-1.2900368918592005
0.202,-2.1779832250982127,-4.868846248600285,-2.9312921981411058,-1.1340238082793361,0.5745026207508777,-1.3408098864093192
0.212,-2.47550382676541,-5.1315633023583445,-2.9972939618958088,-1.2222699416620089,0.738966414602926,-1.382344951966395
0.222,-2.729337282219083,-5.32139867168353,-3.0913391334079696,-1.3147116757635933,0.9124146979480462,-1.4151477326377904
0.232,-2.932355500575329,-5.434365001921944,-3.21539753282402,-1.4128085577838692,1.0907081204804154,-1.440342532101279
0.242,-3.08108346972803,-5.4704878724060055,-3.3675014918522095,-1.517965897695909,1.2691577825154328,-1.459590716678042
0.252,-3.1758960903606144,-5.434000890011715,-3.5414065499744147,-1.6313691735321447,1.442777568132644,-1.4749667024816442
0.262,-3.220858781964881,-5.333224673487844,-3.7266672925607196,-1.7538202120110742,1.6065874980294164,-1.488804603957762
0.272,-3.223242546668455,-5.180099017788159,-3.90917765842464,-1.885595834184489,1.7559417041564884,-1.5035312903398494
0.282,-3.192771357104667,-4.989391202682933,-4.072171878510562,-2.026349026538428,1.886851741450716,-1.521502431935822
0.292,-3.140678693289028,-4.7776604286432685,-4.197618981886275,-2.175068082720515,1.9962781063154278,-1.54485687705566
0.301,-3.078664055321696,-4.5621004054069765,-4.2678813334066295,-2.3301013462289615,2.0823679255656833,-1.5754012810924278
0.312,-3.0178514742508757,-4.359395455487054,-4.267457999923198,-2.489245880791959,2.1446217919419546,-1.6145315610024031
0.322,-2.967858728285871,-4.184708550028434,-4.1846073218826625,-2.6498895390487545,2.183975871135078,-1.6631913003299716
0.331,-2.9360825702636713,-4.05088340796733,-4.012646085798093,-2.8091890126805015,2.202787372727721,-1.721861057857084
0.342,-2.92728537462248,-3.967902652994683,-3.750755964698593,-2.964262400846523,2.2047147671594303,-1.7905682127371012
0.352,-2.943529338266546,-3.9426105540555736,-3.4041878161699555,-3.1123739553078607,2.1944911554279067,-1.8689057586282132
0.362,-2.9844499131391977,-3.97868402272943,-2.983833737550017,-3.2510909042110994,2.177600542335067,-1.9560507353120093
0.372,-3.04780242606789,-4.076815949021805,-2.5052242089627343,-3.378397299734104,2.159880644103622,-2.0507780573856715
0.382,-3.1301702419212436,-4.235057919570582,-1.987088858598945,-3.492757031642186,2.1470887904273885,-2.1514718237019563
0.392,-3.227700743741476,-4.44925665493226,-1.4496796886926222,-3.5931263899844725,2.1444755784236476,-2.2561419896233708
0.402,-3.336739815784385,-4.713515116782165,-0.9130827525899949,-3.6789243027276686,2.1564112994696116,-2.3624580628407643
0.412,-3.454263039606143,-5.020618536344775,-0.39573106314595924,-3.749974000276194,2.1861019097065224,-2.4678122446290804
0.422,-3.5780472304699966,-5.362386280764598,0.08672120242398475,-3.806432178923835,2.2354160772141034,-2.5694216881523406
0.432,-3.706583340954559,-5.729937765320094,0.5220845371487448,-3.84872039333358,2.304826401343188,-2.664473312694032
0.442,-3.8387916468638457,-6.113888834638402,0.901891698028494,-3.8774690553302418,2.3934509288219306,-2.7503056210624894
0.451,-3.973647528682629,-6.504518104481511,1.2213144842491084,-3.893478511971208,2.499169468736138,-2.824611858592561
0.462,-4.10984483555391,-6.891954065155505,1.4788687465443588,-3.897695949771254,2.618784890827193,-2.885640090831976
0.472,-4.245605009205294,-7.266427476790205,1.6760365591028248,-3.8912027459692027,2.7482024288049494,-2.9323609977166756
0.482,-4.378688103588072,-7.618607901455207,1.8168988183229626,-3.8752050531577167,2.882608315403861,-2.9645752511545163
0.492,-4.506592007901431,-7.940003628537411,1.9078173292281815,-3.851020631195039,3.0166403654124463,-2.9829396852334007
0.502,-4.626859683986175,-8.223364193272838,1.9571547464516408,-3.8200563520601705,3.1445545778008483,-2.988903925023522
0.512,-4.737372245881045,-8.463001334285082,1.974991493629803,-3.7837725728391156,3.260400579702344,-2.9845642282531712
0.522,-4.836502954040198,-8.65495062969627,1.972795947207538,-3.743632400499592,3.358222348218129,-2.9724557170074264
0.532,-4.923045733493689,-8.796933477450096,1.9630203312206107,-3.7010357803022176,3.432297813655474,-2.9553145811766965
0.542,-4.995900163277263,-8.888134621687216,1.9586198832504391,-3.65724021838235,3.477421983547974,-2.9358457221697547
0.552,-5.053573019446802,-8.928862530356126,1.9725206188152806,-3.613271498024381,3.4892250282322705,-2.9165277930635396
0.562,-5.093622629536638,-8.92018914405521,2.0170865290139943,-3.569828771753344,3.464502387754929,-2.8994777385763153
0.572,-5.112209015103816,-8.863663230664056,2.103652877699311,-3.527189044108349,3.40152201182915,-2.8863834594684112
0.582,-5.103911285996851,-8.761162248618632,2.2421895216345695,-3.4851166849607407,3.300267689880389,-2.8784996107180327
0.592,-5.061935216363972,-8.614905057655113,2.441132309747079,-3.4427844616761822,3.1625791754566075,-2.8766908450648465
0.602,-4.978767621228322,-8.427608003354573,2.7073780303817756,-3.3987133446526157,2.992159548978603,-2.881500661231182
0.612,-4.847253992111161,-8.2027401383999,3.046396366020726,-3.3507383216760727,2.7944359059971533,-2.893222428894564
0.622,-4.661996558809529,-7.944820232541147,3.462388077657169,-3.2960062628869693,2.5762774494316134,-2.9119512703507153
0.632,-4.420903406977293,-7.659692701994453,3.958416319621498,-3.2310099733328976,2.3455918829563354,-2.9376004577536667
0.642,-4.126673103703654,-7.354716188066048,4.536448463865508,-3.1516609325325255,2.1108343697509295,-2.9698733542583775
0.652,-3.787978166686478,-7.038797466909056,5.197259540687777,-3.053402425125653,1.8804720850374332,-3.008191126792771
0.664,-3.4201188961999534,-6.722209911840941,5.940165522776783,-2.931364474894944,1.6624508576647719,-3.051586367362989
0.672,-3.044960868627478,-6.416154986409984,6.762581213690773,-2.7805613339609856,1.4637084999236156,-3.098581684991068
0.682,-2.690045836434488,-6.132057573940668,7.659434242838266,-2.5961305552273446,1.289773368072656,-3.1470784107776955
0.692,-2.3868700475789897,-5.880626828108479,8.622505078071626,-2.3736096197683825,1.1444784995037838,-3.19428233286872
0.702,-2.1684405550188774,-5.670757747085626,9.63979187078041,-2.1092416319349603,1.0298125516716377,-3.236690289680649
0.714,-2.066329879684038,-5.50838992374444,10.695012583911902,-1.8002957877098653,0.945918202568727,-3.270154006622554
0.722,-2.107536768546965,-5.395474164555721,11.767355660751535,-1.4453816803219275,0.8912354480164241,-3.2900269748353654
0.732,-2.3115157263968014,-5.329218375541318,12.831576463141909,-1.0447303405609232,0.8627713334301945,-3.291387806237458
0.742,-2.6877521788081435,-5.3017826870880205,13.858509582933149,-0.6004111776925433,0.8564612166009113,-3.269320760670794
0.752,-3.234223739290224,-5.300561593158642,14.816024893612443,-0.11645459584925816,0.8675735675961682,-3.219222866869624
0.764,-3.936994384955743,-5.309122664061927,15.670398675134587,0.40114401382203657,0.8911048272785844,-3.1370997672420278
0.772,-4.771043256711002,-5.308769342908713,16.38800822578623,0.9445523596172313,0.9221152872223903,-3.0198117319182933
0.782,-5.702256489683466,-5.2805733379581445,16.937203373762816,1.5043607679481756,0.9559698951961845,-2.8652386895659667
0.792,-6.6903437040209734,-5.207608023377632,17.290177463504534,2.06995780633554,0.9884651735447305,-2.6723478274748578
0.802,-7.6923133774671175,-5.0770450545957955,17.424665513293217,2.629994644939161,1.0158415534754426,-2.4411660375392312
0.814,-8.666072383993537,-4.88178276769816,17.32533690917114,3.1729040228708447,1.0346982515943102,-2.172677342817141
0.822,-9.573709004798642,-4.621361554263594,16.984805295685142,3.6874387327640408,1.0418446136567983,-1.8686777451886478
0.832,-10.384073919967872,-4.302059606744566,16.40422280521562,4.1631974677146735,1.0341347057274877,-1.5316240694152083
0.842,-11.074386516134144,-3.9362051222125434,15.593444884343322,4.591109749225468,1.0083363189092465,-1.1645095339133005
0.852,-11.63075283848248,-3.5408493154802825,14.570753586275126,4.963854660708383,0.9610784747404423,-0.7707890839564747
0.864,-12.047660135268327,-3.1360046451466697,13.362132531831927,5.276190469319789,0.8889038706056896,-0.3543644735197661
0.872,-12.326672615203872,-2.7426730432313824,12.000111452748834,5.525175433095651,0.7884290966583389,0.08037529360978024
0.881,-12.474656257311871,-2.3808851597398055,10.522241597944815,5.710265563166579,0.6565922934388856,0.5284763393321874
0.892,-12.501886094298596,-2.0679524825139883,8.9693113792592,5.833283137345843,0.4909511101896333,0.9843340861475521
0.902,-12.420340561221455,-1.8170992402132595,7.383446722071962,5.898259290449623,0.2899868753901167,1.4416334608123278
0.913,-12.242387846284707,-1.6365878874670088,5.806249395447265,5.91116314929362,0.05337399212744047,1.8933474137461923
0.922,-11.979950745540767,-1.5293843622922842,4.277105645730356,5.879536943171739,-0.2178160994172571,2.3318172249253832
0.932,-11.644128855464356,-1.4933382153715928,2.831754485886789,5.812060425306673,-0.5209940639256426,2.7489246325673626
0.942,-11.245181012189173,-1.5217920733835764,1.5011552153981342,5.718069083181465,-0.8520213813971661,3.1363510238793015
0.952,-10.792735873855753,-1.6044961657099872,0.31065248687458424,5.607050128686975,-1.2052681344881344,3.485905807887133
0.964,-10.29610003340255,-1.7286922488761052,-0.7205864217232328,5.488139472422468,-1.5737564632539183,3.789896615717994
0.972,-9.764556227429564,-1.880245207822678,-1.5798925487996203,5.3696426969790645,-1.9493850338523582,4.041508823825571
0.982,-9.20757347898768,-2.0447311955722265,-2.2611963765887086,5.25860355896167,-2.323227224899604,4.23516082640627
0.992,-8.634878587010865,-2.208425989423599,-2.7649166231709734,5.160444183306391,-2.685890016163197,4.366803904365704
1.002,-8.05636427592405,-2.3591646352036535,-3.0976304514095916,5.0787009435212935,-3.0279128448764085,4.434140890348868
1.013,-7.481835457896299,-2.487056661511363,-3.271511133468886,5.014877989831402,-3.340178754931823,4.4367455791494885
1.022,-6.92062035880583,-2.5850405312281026,-3.3035223880071936,4.96843537281425,-3.6143061121414197,4.3760742142529265
1.032,-6.381093318111168,-2.6492534697228187,-3.2143772012380616,4.936919902757172,-3.842988450720181,4.255370207190718
1.043,-5.8701668505418825,-2.679188430739775,-3.0273031546319733,4.91623450431899,-4.020252544425029,4.079472095905932
1.052,-5.392812212304623,-2.677616595644333,-2.7666972981220552,4.90102757738637,-4.141611287848239,3.8545415219122336
1.065,-4.95166467827663,-2.6502726206792415,-2.45678539712686,4.885170539543648,-4.2040998667228715,3.5877324387495446
1.072,-4.546766968394359,-2.6053253205550004,-2.120409067597936,4.862282004642096,-4.2062012641070945,3.2868254250702704
1.082,-4.175502554352659,-2.5526808009305397,-1.7780466935501862,4.826252470270673,-4.147687461459597,2.9598526338185005
1.093,-3.8327643587772893,-2.503182497945635,-1.4471375892532965,4.771724047239955,-4.029419674970419,2.6147396411882644
1.103,-3.5113847805315683,-2.467780672308521,-1.1417350733133271,4.69448500832291,-3.8531582530828086,2.258989233152315
1.114,-3.2028155982408157,-2.456742645933169,-0.8724720148214223,4.59174810415089,-3.6214273768931853,1.8994275045160687
1.122,-2.8979974641252095,-2.478966100700138,-0.6467872971757898,4.462294048223666,-3.337463082270402,1.5420240740985693
1.132,-2.588314154673362,-2.5414436747034976,-0.46933750941741803,4.306476093374061,-3.005250108085317,1.1917872714061364
1.143,-2.2665026645046082,-2.648910776930519,-0.34250907643881984,4.126096174044563,-2.6296286865267664,0.8527249051731703
1.152,-1.9273941876878553,-2.803692270541717,-0.2669538011539829,3.9241753887082322,-2.216430479860878,0.5278547842635812
1.165,-1.5683904044781154,-3.0057481079255925,-0.2420913891466943,3.70464996904136,-1.7725871604658299,0.21924824370356655
1.172,-1.1896267891355796,-3.252902535852762,-0.26654592267980975,3.4720277193674347,-1.3061505898301369,-0.0719057254070432
1.182,-0.7938320991004009,-3.541226409383668,-0.338498922741608,3.231039584232747,-0.8261747509015859,-0.3452206073457176
1.196,-0.38595106286509784,-3.8655297392934767,-0.45594648604481947,2.98631737639401,-0.34243647106737873,-0.6010140445181905
1.202,0.027359567422507503,-4.219913652173582,-0.6168492126438104,2.7421225410710175,0.13499233263330546,-0.8401837256475632
1.213,0.4382391126693744,-4.598325466695297,-0.8191714551250094,2.5021426903033097,0.5962743352379105,-1.0640499590399137
1.222,0.8380365755308643,-4.995053395777149,-1.0608223426320265,2.2693632504974404,1.032368878950292,-1.274161350897451
1.232,1.217580208646154,-5.405088797519517,-1.3395261138973507,2.0460121547185994,1.4355487811015442,-1.472066601325663
1.243,1.5673090912505538,-5.824282361966957,-1.6526549908713157,1.8335675677007337,1.799800484296414,-1.6590631318297306
1.252,1.8773202488537508,-6.2492369635756235,-1.9970543575005886,1.6328134388261997,2.1210538398259176,-1.83594081861551
1.264,2.137417041815482,-6.676917620526851,-2.368882885440424,1.4439259404053217,2.397212882397684,-2.0027453837432616
1.272,2.337258493068963,-7.104010959292437,-2.763483509886985,1.2665754771891373,2.6279872095788908,-2.1585898488316304
1.282,2.466703106732202,-7.526120603986756,-3.1752958623585137,1.1000330720798017,2.8145512283175,-2.3015429457472334
1.293,2.516413306448413,-7.936930977226703,-3.5978167677065036,0.9432751646037103,2.95908236057428,-2.4286199987218757
1.303,2.4787384902743783,-8.327503849923293,-4.023612511944136,0.7950857427152312,3.06424653721896,-2.535894420906801
1.313,2.3488291419261333,-8.685883781428906,-4.444384833502595,0.654158022659144,3.132707491173137,-2.6187366890522736
1.322,2.125858007326192,-8.997173471527447,-4.851092452741791,0.5191987729849762,3.166733483998127,-2.6721728628435617
1.334,1.8141497567842835,-9.244192858996758,-5.23413190272548,0.3890366818441532,3.1679602949736623,-2.6913375492677565
1.343,1.4239688753136746,-9.408755682177755,-5.583584964354292,0.26273247245540643,3.1373437966271647,-2.6719789729815497
1.352,0.971711488886117,-9.473488571712997,-5.889543280767358,0.13968385715344303,3.0753029175641267,-2.6109599166019315
1.363,0.47930881669606584,-9.423993970858838,-6.142520385987991,0.01971412996004274,2.9820198995708562,-2.50669174860464
1.372,-0.027219881231762985,-9.251046638486487,-6.333952514945568,-0.09686948779634393,2.8578363197115464,-2.359442950792946
1.382,-0.5199501954709919,-8.952451770254111,-6.456768244204482,-0.20926153617433182,2.7036670065365533,-2.1714793717593563
1.393,-0.9716794523256677,-8.534211703064681,-6.505976139877924,-0.31619827248895593,2.5213538233019253,-1.9470178005082766
1.402,-1.3585857995152795,-8.010752899738687,-6.47919136145658,-0.41605534368726155,2.3138968672204014,-1.6920011242722421
1.412,-1.6624881747691982,-7.404130372384205,-6.377011169628817,-0.5069977230457784,2.085526973942714,-1.4137259256232728
1.422,-1.8723624886119858,-6.742309292967296,-6.203161727676543,-0.5871671283993658,1.8416130817121326,-1.12036835583809
1.432,-1.9849280031008163,-6.056777062348744,-5.964369530485126,-0.6548843720372799,1.5884239986404187,-0.8204612754688261
1.443,-2.0042956477326186,-5.379827799188421,-5.669950744775184,-0.7088398347135392,1.332782184537423,-0.5223761828865877
1.452,-1.940822270920832,-4.74187132379956,-5.331152541851503,-0.748245769342809,1.0816563391291403,-0.23385812828786548
1.463,-1.809417180838027,-4.169064483521927,-4.960315209229665,-0.7729294010148157,0.8417410899841571,0.03834902342826482
1.472,-1.6275918128562492,-3.681477315866903,-4.569946044354459,-0.7833544911663948,0.6190678687030398,0.28876471165488937
1.482,-1.4135328569710368,-3.291921486999505,-4.171802649242925,-0.7805692035099387,0.41868300534728464,0.5133153943584521
1.493,-1.1844261925374586,-3.0054977022394125,-3.7760763055316326,-0.7660878490817254,0.24441853895444043,0.7093684414098377
1.502,-0.9551834157098928,-2.8198597376046712,-3.39075069383298,-0.7417220573141593,0.09876917598603091,0.8756746689589131
1.512,-0.7376447991987447,-2.726137278282887,-3.021192688022062,-0.7093825437484159,-0.01712397569647197,1.0122428844863347
1.522,-0.540264971298141,-2.710403616997575,-2.670014713049758,-0.6708759901651136,-0.10339477187862814,1.1201705170543652
1.532,-0.36823413397343807,-2.7555198287495384,-2.3372334302888262,-0.6277228081567519,-0.1613011229253801,1.2014519169569493
1.543,-0.22394712402234165,-2.8431423493304493,-2.0207325314622175,-0.5810204560950263,-0.1930318209913075,1.258781133197091
1.552,-0.10770360975436172,-2.955657315961492,-1.717009588813408,-0.5313728055422517,-0.20150352578799588,1.2953599338512454
1.562,-0.018505280216537304,-3.0778129198141357,-1.4221442401472217,-0.47889833771572465,-0.19017612816213816,1.314715788182449
1.572,0.04518824081477339,-3.1978644337945012,-1.132874778232015,-0.4233192029841403,-0.16290289882111306,1.3205298220586483
1.582,0.08487096682874905,-3.3081206012098154,-0.8476284261577702,-0.36412099419436555,-0.12381398979243002,1.3164724071368474
1.593,0.10166439679012156,-3.404872044165979,-0.5673327383866072,-0.3007616345187187,-0.07721350640134901,1.3060443442597094
1.602,0.09629591975915552,-3.487775436395969,-0.2958498946627611,-0.23289910548820747,-0.027459452378898925,1.292424081253852
1.612,0.06935419431070709,-3.5588445524289414,-0.03992247040095189,-0.16060338196422125,0.021201407471312616,1.2783252017609434
1.622,0.021720353459943637,-3.6212477132531165,0.1914064912499055,-0.084518927685401,0.06485471039179672,1.2658726248216179
1.632,-0.04498035201795529,-3.678123025408992,0.3878446095321876,-0.005950792451633438,0.10018113866345515,1.256509521393177
1.643,-0.12807309617592882,-3.7315976066945873,0.5392262416472811,0.07314114602528388,0.124721664328936,1.250948467688726
1.652,-0.2237980575363699,-3.782142680659163,0.6369989957165719,0.1502412853958788,0.13709288977757675,1.24917832945174
1.662,-0.3275825570320364,-3.828328628660464,0.6755812077066218,0.2224587542359397,0.13710315187632868,1.2505322368423069
1.672,-0.4345577443030689,-3.866979739267706,0.6533731608978222,0.28676643461168816,0.1257403678172343,1.2538129433720622
1.682,-0.5401779110093224,-3.8936770112157024,0.5732622945448546,0.34026861235943257,0.10503361311279687,1.2574624887443908
1.694,-0.6407708279389669,-3.903518306104173,0.44253956475595163,0.38046402252166767,0.07782055344202932,1.2597561307501228
1.702,-0.7338763386099626,-3.8920141684431053,0.27222949349504366,0.40547168618025853,0.047470431794429856,1.2589974992714674
1.713,-0.8183058401342032,-3.8559757614431382,0.07592084201218553,0.41419140883924604,0.017611619845428663,1.2536928903494151
1.722,-0.893948521023585,-3.794246545556827,-0.13174353146320936,0.40637877616130597,-0.008103421315630353,1.2426867702236655
1.732,-0.9614271953637455,-3.7081497487424038,-0.3367106018569281,0.38262524540004067,-0.026185763433964487,1.2252469780292192
1.744,-1.0217421222016325,-3.6015702315193905,-0.5270677575607715,0.3442462885941237,-0.033459868596156614,1.201095825107116
1.752,-1.0760280034573018,-3.4806536737279137,-0.6942836465488168,0.29309267585122106,-0.027194978063475386,1.17039102338195
1.763,-1.1254964977063946,-3.35317392893922,-0.8339666098370141,0.23130977931409788,-0.005235215256495361,1.1336666556027286
1.772,-1.1715630424731438,-3.2276758392324885,-0.9460428402148033,0.16107554572779278,0.03386498980003742,1.0917479818445397
1.783,-1.21608629278553,-3.112534225146667,-1.0343511689837417,0.08434890622142692,0.09070679899017037,1.0456542500686175
1.795,-1.2616042332503143,-3.01507562212695,-1.1057457798719874,0.002657352241045217,0.16493216674557842,0.9965013680469422
1.802,-1.3114468580242173,-2.9408905360136552,-1.1688710098196404,-0.08305380060235065,0.2551538184564413,0.9454127080451759
1.813,-1.3696388677053652,-2.8934270923351524,-1.2328114296318835,-0.1724964591708758,0.35895812320757364,0.8934429803388564
1.823,-1.4405614170644718,-2.8739082458135115,-1.305823592596862,-0.26603517855862635,0.4730050398918231,0.841517726158658
1.833,-1.5284011081255935,-2.8815606281373656,-1.3943253212940379,-0.36460939266265296,0.5932376611746764,0.7903891794014355
1.845,-1.6364636024255366,-2.9140925436591845,-1.5022577470966596,-0.4695976284305784,0.715196131517374,0.7406073101431779
1.853,-1.766460534767464,-2.968322060226675,-1.6308546615272055,-0.5826443103962611,0.8344112303254916,0.6925026378482706
